Line_index,Line_start,Line_end,Line
117,114,133,"[ -4.460295658391722,57.483439162815394],[ -4.163496630203753,56.759351018175245]"
118,115,134,"[ -4.460295658391722,57.483439162815394],[ -4.163496630203753,56.759351018175245]"
119,120,123,"[ -4.191457809827574,55.874011005264165],[ -1.7841285242062415,57.50806535246214]"
120,120,128,"[ -4.191457809827574,55.874011005264165],[ -2.346052379862795,57.2331743576788]"
121,120,128,"[ -4.191457809827574,55.874011005264165],[ -2.346052379862795,57.2331743576788]"
122,120,128,"[ -4.191457809827574,55.874011005264165],[ -2.346052379862795,57.2331743576788]"
123,123,128,"[ -1.7841285242062415,57.50806535246214],[ -2.346052379862795,57.2331743576788]"
124,123,128,"[ -1.7841285242062415,57.50806535246214],[ -2.346052379862795,57.2331743576788]"
125,123,128,"[ -1.7841285242062415,57.50806535246214],[ -2.346052379862795,57.2331743576788]"
126,128,130,"[ -2.346052379862795,57.2331743576788],[ -2.9567899398173636,56.53378160019205]"
127,128,130,"[ -2.346052379862795,57.2331743576788],[ -2.9567899398173636,56.53378160019205]"
128,128,130,"[ -2.346052379862795,57.2331743576788],[ -2.9567899398173636,56.53378160019205]"
129,1,35,"[ -2.9599967570663948,54.94259958220823],[ -2.9599967570663948,54.94259958220823]"
130,2,36,"[ -1.7438937687082148,54.976702996815256],[ -1.7438937687082148,54.976702996815256]"
131,2,37,"[ -1.7438937687082148,54.976702996815256],[ -1.7438937687082148,54.976702996815256]"
132,2,38,"[ -1.7438937687082148,54.976702996815256],[ -1.7438937687082148,54.976702996815256]"
133,3,39,"[ -2.752932207052319,53.74543392890058],[ -2.752932207052319,53.74543392890058]"
134,3,40,"[ -2.752932207052319,53.74543392890058],[ -2.752932207052319,53.74543392890058]"
135,3,41,"[ -2.752932207052319,53.74543392890058],[ -2.752932207052319,53.74543392890058]"
136,3,42,"[ -2.752932207052319,53.74543392890058],[ -2.752932207052319,53.74543392890058]"
137,4,26,"[ -3.052285951128855,53.232985465731794],[ -0.7491838835329762,53.594813029735285]"
138,4,27,"[ -3.052285951128855,53.232985465731794],[ -0.7491838835329762,53.594813029735285]"
139,4,43,"[ -3.052285951128855,53.232985465731794],[ -3.052285951128855,53.232985465731794]"
140,4,44,"[ -3.052285951128855,53.232985465731794],[ -3.052285951128855,53.232985465731794]"
141,4,45,"[ -3.052285951128855,53.232985465731794],[ -3.052285951128855,53.232985465731794]"
142,46,5,"[ -2.3809234866743907,53.51387488731601],[ -2.3809234866743907,53.51387488731601]"
143,28,6,"[ -1.0837834906824324,53.58014796874405],[ -1.0837834906824324,53.58014796874405]"
144,7,47,"[ -0.9945714779797197,53.73559912885454],[ -0.9945714779797197,53.73559912885454]"
145,8,22,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
146,8,23,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
147,24,8,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
148,25,8,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
149,8,48,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
150,8,49,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
151,8,50,"[ -0.7491838835329762,53.594813029735285],[ -0.7491838835329762,53.594813029735285]"
152,9,51,"[ -1.2561763121377867,52.865560873948176],[ -1.2561763121377867,52.865560873948176]"
153,52,9,"[ -1.2561763121377867,52.865560873948176],[ -1.2561763121377867,52.865560873948176]"
154,10,53,"[ -1.9888413892850967,52.25063766020046],[ -1.9888413892850967,52.25063766020046]"
155,10,54,"[ -1.9888413892850967,52.25063766020046],[ -1.9888413892850967,52.25063766020046]"
156,10,55,"[ -1.9888413892850967,52.25063766020046],[ -1.9888413892850967,52.25063766020046]"
157,11,56,"[ 0.1989670349568138,52.72710051797123],[ 0.1989670349568138,52.72710051797123]"
158,11,57,"[ 0.1989670349568138,52.72710051797123],[ 0.1989670349568138,52.72710051797123]"
159,12,58,"[ -1.689456436252286,53.348466871791345],[ -1.689456436252286,53.348466871791345]"
160,12,59,"[ -1.689456436252286,53.348466871791345],[ -1.689456436252286,53.348466871791345]"
161,14,60,"[ -0.9098481700663408,51.927198601260926],[ -0.9098481700663408,51.927198601260926]"
162,15,61,"[ -2.1387523620231192,51.371772022260494],[ -2.1387523620231192,51.371772022260494]"
163,15,62,"[ -2.1387523620231192,51.371772022260494],[ -2.1387523620231192,51.371772022260494]"
164,15,63,"[ -2.1387523620231192,51.371772022260494],[ -2.1387523620231192,51.371772022260494]"
165,29,17,"[ -1.0837834906824324,53.58014796874405],[ -0.12220930275771401,51.51348843682179]"
166,30,17,"[ -1.0837834906824324,53.58014796874405],[ -0.12220930275771401,51.51348843682179]"
167,17,64,"[ -0.12220930275771401,51.51348843682179],[ -0.12220930275771401,51.51348843682179]"
168,18,65,"[ 0.7354702883795619,51.36367253816833],[ 0.7354702883795619,51.36367253816833]"
169,18,66,"[ 0.7354702883795619,51.36367253816833],[ 0.7354702883795619,51.36367253816833]"
170,19,67,"[ 1.0079392208724456,51.10469776468738],[ 1.0079392208724456,51.10469776468738]"
171,19,68,"[ 1.0079392208724456,51.10469776468738],[ 1.0079392208724456,51.10469776468738]"
